age,weight-(kg),max-bpm,avg-bpm,resting-bpm,session-duration-(hours),workout-frequency-(days/week),experience-level,daily-meals-frequency,physical-exercise,sugar-g,sodium-mg,cholesterol-mg,serving-size-g,prep-time-min,cook-time-min,rating,pct-maxhr,gender_Male,workout-type_HIIT,workout-type_Strength,workout-type_Yoga,diet-type_Keto,diet-type_Low-Carb,diet-type_Paleo,diet-type_Vegan,diet-type_Vegetarian,cooking-method_Boiled,cooking-method_Fried,cooking-method_Grilled,cooking-method_Raw,cooking-method_Roasted,cooking-method_Steamed,split
18,71.3,194,125,54,0.97,2,1,2,0,29.13,1633,86,421.75,25,110,2.29,0.64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
22,86.77,186,128,58,1.91,5,3,3,1,6.91,1343,93,233.01,26,24,4.59,0.69,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
42,65.43,161,166,67,1.09,3,2,3,0,19.63,1706,43,418.82,48,66,4.57,1.03,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
42,69.23,188,165,65,1.39,3,2,3,0,34.26,2224,121,405.25,28,54,4.48,0.88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
45,64.53,199,133,58,1.67,4,3,3,0,27.02,1529,284,427.92,41,82,4.39,0.67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
25,67.04,184,166,56,1.38,2,1,4,1,19.92,228,24,475.77,13,113,1.31,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
57,90.14,199,150,55,0.9,2,1,3,0,7.74,216,59,480.51,58,44,3.81,0.76,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
47,63.36,192,124,69,1.99,4,3,4,0,14.63,147,120,452.88,52,82,4.88,0.64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
51,85.74,182,145,56,1.84,4,3,3,0,5.39,854,293,372.53,36,53,2.1,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
42,80.4,187,152,65,1.58,5,3,2,1,22.97,1131,190,465.85,59,66,1.78,0.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
52,44.6,164,160,72,1.33,3,2,3,0,37.2,1315,183,295.73,53,81,3.69,0.97,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
47,62.39,192,123,69,1.99,4,3,4,0,14.17,173,118,455.43,54,81,4.89,0.64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
30,42.17,182,121,65,1.45,3,1,3,0,-0.19,1377,26,378.22,43,75,4.18,0.66,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
44,48.26,189,124,52,0.89,2,1,2,1,27.81,1229,292,160.76,55,82,3.34,0.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
49,41.43,171,130,70,1.09,3,1,3,1,44.09,473,146,192.3,41,79,3.61,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
23,67.83,177,138,66,1.42,3,2,2,1,23.37,1138,263,206.57,32,37,3.8,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
57,64.58,177,144,73,1.51,5,3,2,1,20.58,578,255,385.61,42,33,2.51,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
33,64.6,186,120,74,1.59,5,3,4,0,27.16,1420,69,301.41,53,34,2.08,0.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
47,80.37,198,167,66,1.52,4,3,2,0,33.41,633,143,254.98,22,23,4.41,0.84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train
21,96.35,161,151,62,1.26,3,1,4,0,6.12,1386,179,385.04,54,68,1.74,0.94,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
49,68.12,177,150,60,1.45,4,2,3,0,0.99,2091,205,177.76,14,54,1.41,0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,train
32,68.92,168,165,54,1.42,2,1,4,0,39.02,2313,11,127.23,46,58,4.39,0.98,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
57,127.04,161,133,73,0.96,2,1,3,1,3.11,728,104,398.0,36,38,3.5,0.83,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
25,73.94,177,125,72,0.93,2,1,3,0,9.09,1055,294,341.7,57,61,1.21,0.71,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
42,82.77,187,142,50,1.22,4,2,3,0,7.93,1420,123,386.33,6,93,2.12,0.76,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
29,90.86,171,152,60,1.36,3,2,2,0,23.46,1105,75,366.41,50,36,2.22,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
49,79.2,182,151,64,1.38,2,1,4,0,43.28,1285,184,317.18,47,49,1.19,0.83,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
47,68.53,170,159,73,0.76,3,1,3,0,16.79,748,47,366.79,27,9,3.31,0.93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
46,127.92,198,157,60,0.76,2,1,3,0,42.98,255,269,309.04,19,53,1.67,0.79,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
21,80.52,194,137,55,1.8,4,3,3,0,38.43,918,218,215.67,38,10,4.11,0.71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
58,88.23,187,168,74,1.35,3,2,4,0,20.3,1564,294,493.01,14,27,2.47,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
51,48.01,199,155,74,1.48,2,1,2,1,31.05,2452,242,496.36,39,39,2.2,0.78,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
18,65.72,170,121,57,1.46,3,2,3,0,42.49,929,214,338.34,30,45,2.11,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
18,82.16,174,169,62,1.91,5,3,3,0,30.37,61,213,241.76,10,117,2.84,0.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
33,78.2,183,135,55,1.3,3,2,3,0,49.12,2373,115,173.61,46,35,3.58,0.74,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
24,58.82,189,130,73,0.63,3,1,3,1,6.13,899,126,396.65,58,96,4.02,0.69,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,train
18,71.99,199,148,62,1.17,3,2,3,0,35.16,1615,181,201.57,36,29,3.59,0.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
23,81.12,194,150,74,1.61,4,3,2,0,16.67,774,18,357.93,7,32,2.78,0.77,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
29,70.29,171,125,62,1.04,4,2,3,0,19.99,708,189,220.2,40,85,2.06,0.74,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
54,46.27,175,165,58,1.37,2,1,2,1,13.14,426,197,315.29,42,67,1.92,0.94,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
20,74.39,184,121,73,1.33,3,2,3,0,29.66,332,202,264.28,23,68,3.71,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
42,46.14,176,139,65,1.18,2,1,3,0,18.89,2127,154,265.7,7,92,4.38,0.79,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
36,69.74,165,126,65,1.23,3,1,2,0,10.26,101,35,443.34,51,38,1.57,0.76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
35,55.9,187,140,56,1.71,5,3,2,0,37.6,479,42,190.96,46,23,2.01,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
52,68.5,179,148,67,1.17,3,1,2,0,32.36,2394,16,298.56,23,53,1.62,0.83,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
32,40.23,181,147,66,1.07,4,2,3,0,46.25,2517,25,261.53,21,58,2.75,0.81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
54,49.14,194,161,73,1.28,2,1,3,0,6.35,2155,183,386.06,7,98,3.1,0.83,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
24,120.58,179,120,51,1.04,3,2,3,0,7.42,1431,297,350.63,57,26,4.5,0.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
35,86.21,185,135,55,1.77,5,3,3,0,25.12,1038,67,238.55,52,31,1.55,0.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
49,64.16,163,130,61,1.16,4,2,3,1,37.16,253,240,117.47,49,32,2.43,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
41,74.14,160,136,51,1.06,4,2,3,1,38.12,1289,250,179.78,50,65,1.42,0.85,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
18,58.03,175,149,71,1.9,4,3,3,0,30.61,276,267,268.71,58,21,2.03,0.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
48,57.18,185,126,52,1.36,4,2,3,0,35.2,1682,56,132.86,18,95,2.01,0.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
51,84.65,182,145,56,1.83,4,3,3,0,5.46,864,292,376.83,36,52,2.12,0.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
52,47.59,198,146,63,1.34,3,2,3,0,21.82,2383,41,210.52,33,113,4.09,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
57,112.45,195,165,61,1.24,3,2,3,0,34.16,759,177,261.67,11,116,1.76,0.85,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
58,90.26,199,150,55,0.89,2,1,3,0,8.11,211,60,480.34,58,47,3.79,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
19,44.95,177,122,69,1.09,2,1,3,0,40.49,111,268,164.9,36,78,3.63,0.69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
26,76.49,199,139,72,1.08,2,1,2,1,7.84,2174,23,361.22,8,62,1.72,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
51,70.1,181,164,67,1.02,3,2,3,1,26.59,125,278,340.45,43,23,4.52,0.91,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
23,59.67,191,123,52,1.8,4,3,3,0,35.88,449,150,321.35,19,99,1.41,0.64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
48,87.88,183,155,67,1.8,5,3,3,1,3.3,1060,285,397.5,51,17,3.59,0.85,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
30,62.32,168,169,74,1.56,4,3,2,1,0.1,1336,201,240.08,48,67,3.57,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
54,48.01,194,161,73,1.28,2,1,3,0,6.11,2162,185,386.73,7,98,3.1,0.83,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
51,56.78,182,142,66,1.44,3,1,3,1,22.85,1534,268,239.87,24,98,1.82,0.78,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
50,49.36,191,129,55,1.36,2,1,2,0,29.9,1960,143,299.8,48,108,4.66,0.67,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
24,43.3,196,161,65,1.04,4,2,3,1,25.78,2421,42,150.33,53,31,2.03,0.82,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
50,57.61,199,120,50,1.93,5,3,2,1,10.59,747,117,114.89,22,68,3.54,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
36,124.4,168,158,50,1.49,2,1,3,0,4.0,383,107,370.36,34,119,4.6,0.94,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
33,101.22,185,135,72,0.96,2,1,3,0,18.12,1707,229,219.97,49,110,4.77,0.73,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
51,79.07,166,163,59,1.39,3,2,3,0,13.26,1889,34,433.02,43,24,2.0,0.98,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
43,53.81,173,161,71,1.03,4,2,3,0,45.63,701,188,193.91,54,55,4.79,0.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
20,129.08,167,145,57,0.62,2,1,3,0,4.83,1207,7,445.58,26,81,4.8,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
47,49.93,178,147,64,1.48,3,2,2,0,15.09,450,198,369.4,46,56,2.66,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
59,88.93,188,152,67,1.08,3,1,3,0,47.26,1229,144,202.16,58,118,3.08,0.81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
51,48.13,198,146,63,1.34,3,2,3,0,21.7,2346,44,213.3,33,112,4.11,0.74,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
33,64.27,169,144,64,1.32,4,2,3,0,13.26,1511,169,485.89,9,118,0.94,0.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
21,81.52,194,137,55,1.79,4,3,3,0,37.96,918,218,213.73,39,8,4.08,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
30,61.25,172,120,52,1.3,3,2,3,0,44.27,1611,220,467.87,8,72,4.61,0.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
35,78.18,196,164,70,1.29,4,2,3,1,13.46,1420,72,207.96,50,43,4.21,0.84,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
42,49.41,177,150,62,0.64,3,1,3,0,33.67,2194,59,103.85,46,9,1.09,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
43,127.83,171,155,53,1.14,3,2,4,1,12.52,2113,251,393.33,10,24,2.99,0.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
24,60.82,170,165,63,1.96,4,3,3,0,3.59,471,121,435.73,33,120,3.49,0.97,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
35,102.85,183,158,64,0.82,2,1,3,0,11.38,122,275,160.46,56,19,3.86,0.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
32,48.74,167,158,74,1.18,3,2,3,0,24.74,320,58,388.64,36,84,4.9,0.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
30,59.44,174,141,74,1.85,4,3,3,0,30.71,1907,230,498.38,29,36,3.71,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,train
51,60.87,182,126,64,1.61,4,3,2,1,49.05,2296,52,111.11,47,69,1.91,0.69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
44,90.06,192,135,58,1.39,4,2,3,1,6.29,2420,248,99.39,60,50,1.91,0.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
35,127.34,187,129,69,1.02,4,2,4,0,17.55,2316,65,464.22,52,94,2.12,0.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
22,59.45,185,141,58,1.67,5,3,2,0,13.17,2255,54,287.1,52,44,3.8,0.76,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
39,50.61,161,160,71,0.91,3,1,4,0,3.27,140,96,143.8,54,10,2.62,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
49,79.08,194,128,69,1.47,3,1,3,0,45.89,1977,296,241.15,11,54,3.31,0.66,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
50,77.1,171,168,68,0.97,2,1,3,0,1.42,1462,166,336.54,15,13,1.62,0.98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
55,90.54,163,167,51,1.38,3,2,3,1,17.23,392,66,497.7,33,82,2.27,1.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
47,113.8,174,141,56,1.36,3,1,3,0,34.77,1168,226,252.78,40,109,2.27,0.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
18,55.43,176,158,71,1.27,4,2,4,0,19.22,1392,127,429.36,31,108,4.29,0.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
23,121.8,196,167,53,0.72,2,1,2,1,18.29,2441,162,128.06,49,22,3.6,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
38,70.35,164,144,66,1.19,4,2,3,0,28.72,1033,47,225.26,20,103,3.79,0.88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
54,73.21,163,149,72,1.26,2,1,4,0,26.46,2102,239,255.77,27,64,4.8,0.91,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
35,56.79,164,157,70,1.13,4,2,4,0,19.38,314,47,426.96,31,31,4.69,0.96,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
55,110.57,188,166,66,1.29,3,2,3,0,25.32,1893,214,239.26,19,51,3.59,0.88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
37,60.93,177,146,51,1.36,3,1,3,0,19.93,1125,22,337.85,38,70,2.86,0.83,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
20,124.32,194,145,63,1.25,3,2,3,0,18.12,1841,55,203.52,39,51,2.39,0.74,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
30,90.01,165,152,71,1.31,4,2,2,0,14.94,2147,136,300.16,56,43,2.79,0.92,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
51,49.12,199,155,74,1.48,2,1,2,1,30.52,2450,245,501.76,39,37,2.23,0.78,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
35,102.89,183,158,64,0.84,2,1,3,0,11.26,132,276,160.19,57,19,3.9,0.86,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
46,52.09,165,146,63,0.69,2,1,2,0,48.49,2390,20,495.58,48,90,1.12,0.89,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
45,79.15,189,135,69,1.47,3,2,4,1,36.34,637,138,219.07,56,43,3.09,0.71,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
